variant,op,face,at,tool_d,depth,thread,why
hybrid_cold_plate,countersink 90deg,OUTER face (host side),"M4_5 (Y -50, Z 150)",8.4,1.95,,flush - this face is the one that beds against the host
hybrid_cold_plate,countersink 90deg,OUTER face (host side),"M4_6 (Y 50, Z 150)",8.4,1.95,,flush - this face is the one that beds against the host
hybrid_cold_plate,drill + tap BLIND,OUTER face (host side),"VESA75 (Y -37.5, Z 42.5)",3.3,4.0,"M4x0.7, 3.5 mm min full thread",must NOT break through - a long host screw would jack the plate off the chassis
hybrid_cold_plate,drill + tap BLIND,OUTER face (host side),"VESA75 (Y -37.5, Z 117.5)",3.3,4.0,"M4x0.7, 3.5 mm min full thread",must NOT break through - a long host screw would jack the plate off the chassis
hybrid_cold_plate,drill + tap BLIND,OUTER face (host side),"VESA75 (Y 37.5, Z 42.5)",3.3,4.0,"M4x0.7, 3.5 mm min full thread",must NOT break through - a long host screw would jack the plate off the chassis
hybrid_cold_plate,drill + tap BLIND,OUTER face (host side),"VESA75 (Y 37.5, Z 117.5)",3.3,4.0,"M4x0.7, 3.5 mm min full thread",must NOT break through - a long host screw would jack the plate off the chassis
hybrid_cold_plate,drill + tap BLIND,OUTER face (host side),"VESA100 (Y -50, Z 30)",3.3,4.0,"M4x0.7, 3.5 mm min full thread",must NOT break through - a long host screw would jack the plate off the chassis
hybrid_cold_plate,drill + tap BLIND,OUTER face (host side),"VESA100 (Y -50, Z 130)",3.3,4.0,"M4x0.7, 3.5 mm min full thread",must NOT break through - a long host screw would jack the plate off the chassis
hybrid_cold_plate,drill + tap BLIND,OUTER face (host side),"VESA100 (Y 50, Z 30)",3.3,4.0,"M4x0.7, 3.5 mm min full thread",must NOT break through - a long host screw would jack the plate off the chassis
hybrid_cold_plate,drill + tap BLIND,OUTER face (host side),"VESA100 (Y 50, Z 130)",3.3,4.0,"M4x0.7, 3.5 mm min full thread",must NOT break through - a long host screw would jack the plate off the chassis
