kit,id,into,at_xyz,thread,screw,under_head,grip_mm,engagement_mm,max_penetration_mm,torque_nm,optional,note
bulkhead_strap_kit,M4_tab_+X_fan_end,NSP-1600 side wall,"(+42.5, -257.8, 22.8)",M4x0.7,M4x8 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 tab, flush",3.8,4.2,5.0,0.8,no,NOT modelled in the vendor STEP (dia 5 clearance only) - verify on a unit
bulkhead_strap_kit,M5_tab_foot_+X_fan_end,bulkhead_strap shelf (nut below),"(+56.0, -257.8, 0)",M5 into the deck; M5 + nut through a strap's shelf,M5x12 socket cap A4-70 + washer; add a nut on a strap,washer on the tab's foot,3.0,,,4.0,no,"slot +/-2.25 across the unit: tighten the M4 flush first, this second"
bulkhead_strap_kit,M5_strap_terminal_end_Z-18,host bulkhead,"(-48.5, 0.0, -18.0)",M5 into the bulkhead,M5 socket cap A4-70 + DIN 125 washer,"washer on the flange's inner face, below the shelf",3.0,,,4.0,no,reachable with the unit fitted
bulkhead_strap_kit,M5_strap_terminal_end_Z-50,host bulkhead,"(-48.5, 0.0, -50.0)",M5 into the bulkhead,M5 socket cap A4-70 + DIN 125 washer,"washer on the flange's inner face, below the shelf",3.0,,,4.0,no,reachable with the unit fitted
bulkhead_strap_kit,M5_strap_fan_end_Z-18,host bulkhead,"(-48.5, -252.0, -18.0)",M5 into the bulkhead,M5 socket cap A4-70 + DIN 125 washer,"washer on the flange's inner face, below the shelf",3.0,,,4.0,no,reachable with the unit fitted
bulkhead_strap_kit,M5_strap_fan_end_Z-50,host bulkhead,"(-48.5, -252.0, -50.0)",M5 into the bulkhead,M5 socket cap A4-70 + DIN 125 washer,"washer on the flange's inner face, below the shelf",3.0,,,4.0,no,reachable with the unit fitted
deck_tab_kit,M3_box_floor_1,host deck,"(-35.5, 14.0, 0)",M3x0.5 tapped through the strap shelf (or the deck),M3x6 pan head A4-70,2.5 mm printed floor,2.5,,,0.5,no,"tap M3 in the deck, or clearance + nut"
deck_tab_kit,M3_box_floor_2,host deck,"(+42.0, 14.0, 0)",M3x0.5 tapped through the strap shelf (or the deck),M3x6 pan head A4-70,2.5 mm printed floor,2.5,,,0.5,no,"tap M3 in the deck, or clearance + nut"
deck_tab_kit,M3_box_floor_3,host deck,"(-35.5, 62.0, 0)",M3x0.5 tapped through the strap shelf (or the deck),M3x6 pan head A4-70,2.5 mm printed floor,2.5,,,0.5,no,"tap M3 in the deck, or clearance + nut"
deck_tab_kit,M3_box_floor_4,host deck,"(+42.0, 62.0, 0)",M3x0.5 tapped through the strap shelf (or the deck),M3x6 pan head A4-70,2.5 mm printed floor,2.5,,,0.5,no,"tap M3 in the deck, or clearance + nut"
bulkhead_strap_kit,M3_box_floor_1,terminal strap (tapped),"(-35.5, 14.0, 0)",M3x0.5 tapped through the strap shelf (or the deck),M3x6 pan head A4-70,2.5 mm printed floor,2.5,3.0,,0.5,no,"through-tapped: 3.0 mm of thread, tip 0.5 mm proud on the strap's free underside"
bulkhead_strap_kit,M3_box_floor_2,terminal strap (tapped),"(+42.0, 14.0, 0)",M3x0.5 tapped through the strap shelf (or the deck),M3x6 pan head A4-70,2.5 mm printed floor,2.5,3.0,,0.5,no,"through-tapped: 3.0 mm of thread, tip 0.5 mm proud on the strap's free underside"
bulkhead_strap_kit,M3_box_floor_3,terminal strap (tapped),"(-35.5, 62.0, 0)",M3x0.5 tapped through the strap shelf (or the deck),M3x6 pan head A4-70,2.5 mm printed floor,2.5,3.0,,0.5,unused (beyond the strap),"through-tapped: 3.0 mm of thread, tip 0.5 mm proud on the strap's free underside"
bulkhead_strap_kit,M3_box_floor_4,terminal strap (tapped),"(+42.0, 62.0, 0)",M3x0.5 tapped through the strap shelf (or the deck),M3x6 pan head A4-70,2.5 mm printed floor,2.5,3.0,,0.5,unused (beyond the strap),"through-tapped: 3.0 mm of thread, tip 0.5 mm proud on the strap's free underside"
bulkhead_strap_kit,M5_box_ear_1,host bulkhead,"(-48.5, 81.0, 9.0)",M5 into the bulkhead,M5x10 socket cap A4-70 + washer,"printed ear, head reached from +X",6.5,,,2.0,no,past the box's far wall
bulkhead_strap_kit,M5_box_ear_2,host bulkhead,"(-48.5, 81.0, 38.0)",M5 into the bulkhead,M5x10 socket cap A4-70 + washer,"printed ear, head reached from +X",6.5,,,2.0,no,past the box's far wall
bulkhead_shelf_kit,M4_side_+X_terminal_end,NSP-1600 side wall,"(+42.5, -5.8, 22.8)",M4x0.7,M4x10 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 wall + 3.0 spacer_ring",6.8,3.2,5.0,0.8,no,"threaded cross-tube, real in the vendor STEP"
bulkhead_shelf_kit,M4_side_+X_fan_end,NSP-1600 side wall,"(+42.5, -257.8, 22.8)",M4x0.7,M4x10 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 wall + 3.0 spacer_ring",6.8,3.2,5.0,0.8,no,NOT modelled in the vendor STEP (dia 5 clearance only) - verify on a unit
bulkhead_shelf_kit,M3_bottom_1,NSP-1600 bottom face,"(-35.0, -16.1, 0)",M3x0.5,M3x6 countersunk 90deg DIN 7991 A4-70,"countersunk, head fully sunk",3.0,3.0,4.0,0.6,no,enters from below the pan; bench operation on the deck tray
bulkhead_shelf_kit,M3_bottom_2,NSP-1600 bottom face,"(+35.0, -16.1, 0)",M3x0.5,M3x6 countersunk 90deg DIN 7991 A4-70,"countersunk, head fully sunk",3.0,3.0,4.0,0.6,no,enters from below the pan; bench operation on the deck tray
bulkhead_shelf_kit,M3_bottom_3,NSP-1600 bottom face,"(+0.0, -280.8, 0)",M3x0.5,M3x6 countersunk 90deg DIN 7991 A4-70,"countersunk, head fully sunk",3.0,3.0,4.0,0.6,no,enters from below the pan; bench operation on the deck tray
bulkhead_shelf_kit,M3_hood_1,bulkhead_shelf pan (tapped),"(-35.5, 20.0, 0)",M3x0.5 tapped through the 3.0 mm pan,M3x6 pan head A4-70,3.0 mm printed foot,3.0,3.0,3.0,0.5,no,tip flush with the pan underside
bulkhead_shelf_kit,M3_hood_2,bulkhead_shelf pan (tapped),"(-35.5, 62.0, 0)",M3x0.5 tapped through the 3.0 mm pan,M3x6 pan head A4-70,3.0 mm printed foot,3.0,3.0,3.0,0.5,no,tip flush with the pan underside
bulkhead_shelf_kit,M3_hood_3,bulkhead_shelf pan (tapped),"(+42.0, 20.0, 0)",M3x0.5 tapped through the 3.0 mm pan,M3x6 pan head A4-70,3.0 mm printed foot,3.0,3.0,3.0,0.5,no,tip flush with the pan underside
bulkhead_shelf_kit,M3_hood_4,bulkhead_shelf pan (tapped),"(+42.0, 62.0, 0)",M3x0.5 tapped through the 3.0 mm pan,M3x6 pan head A4-70,3.0 mm printed foot,3.0,3.0,3.0,0.5,no,tip flush with the pan underside
deck_tray_kit,M4_side_-X_terminal_end,NSP-1600 side wall,"(-42.5, -5.8, 22.8)",M4x0.7,M4x10 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 wall + 3.0 spacer_ring",6.8,3.2,5.0,0.8,no,"threaded cross-tube, real in the vendor STEP"
deck_tray_kit,M4_side_-X_fan_end,NSP-1600 side wall,"(-42.5, -257.8, 22.8)",M4x0.7,M4x10 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 wall + 3.0 spacer_ring",6.8,3.2,5.0,0.8,no,NOT modelled in the vendor STEP (dia 5 clearance only) - verify on a unit
deck_tray_kit,M4_side_+X_terminal_end,NSP-1600 side wall,"(+42.5, -5.8, 22.8)",M4x0.7,M4x10 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 wall + 3.0 spacer_ring",6.8,3.2,5.0,0.8,no,"threaded cross-tube, real in the vendor STEP"
deck_tray_kit,M4_side_+X_fan_end,NSP-1600 side wall,"(+42.5, -257.8, 22.8)",M4x0.7,M4x10 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 wall + 3.0 spacer_ring",6.8,3.2,5.0,0.8,no,NOT modelled in the vendor STEP (dia 5 clearance only) - verify on a unit
deck_tray_kit,M3_bottom_1,NSP-1600 bottom face,"(-35.0, -16.1, 0)",M3x0.5,M3x6 countersunk 90deg DIN 7991 A4-70,"countersunk, head fully sunk",3.0,3.0,4.0,0.6,yes,enters from below the pan; bench operation on the deck tray
deck_tray_kit,M3_bottom_2,NSP-1600 bottom face,"(+35.0, -16.1, 0)",M3x0.5,M3x6 countersunk 90deg DIN 7991 A4-70,"countersunk, head fully sunk",3.0,3.0,4.0,0.6,yes,enters from below the pan; bench operation on the deck tray
deck_tray_kit,M3_bottom_3,NSP-1600 bottom face,"(+0.0, -280.8, 0)",M3x0.5,M3x6 countersunk 90deg DIN 7991 A4-70,"countersunk, head fully sunk",3.0,3.0,4.0,0.6,yes,enters from below the pan; bench operation on the deck tray
deck_tray_kit,M3_hood_1,deck_tray pan (tapped),"(-35.5, 20.0, 0)",M3x0.5 tapped through the 3.0 mm pan,M3x6 pan head A4-70,3.0 mm printed foot,3.0,3.0,3.0,0.5,no,tip flush with the pan underside
deck_tray_kit,M3_hood_2,deck_tray pan (tapped),"(-35.5, 62.0, 0)",M3x0.5 tapped through the 3.0 mm pan,M3x6 pan head A4-70,3.0 mm printed foot,3.0,3.0,3.0,0.5,no,tip flush with the pan underside
deck_tray_kit,M3_hood_3,deck_tray pan (tapped),"(+42.0, 20.0, 0)",M3x0.5 tapped through the 3.0 mm pan,M3x6 pan head A4-70,3.0 mm printed foot,3.0,3.0,3.0,0.5,no,tip flush with the pan underside
deck_tray_kit,M3_hood_4,deck_tray pan (tapped),"(+42.0, 62.0, 0)",M3x0.5 tapped through the 3.0 mm pan,M3x6 pan head A4-70,3.0 mm printed foot,3.0,3.0,3.0,0.5,no,tip flush with the pan underside
deck_tray_kit,M5_deck_1,host deck,"(-30.0, -313.0, 0)",M5 into the deck / subpanel,M5 countersunk 90deg A4-70,countersunk flush in the pan,3.0,,,,no,beyond the unit's ends - reachable with the unit fitted
deck_tray_kit,M5_deck_2,host deck,"(+30.0, -313.0, 0)",M5 into the deck / subpanel,M5 countersunk 90deg A4-70,countersunk flush in the pan,3.0,,,,no,beyond the unit's ends - reachable with the unit fitted
deck_tray_kit,M5_deck_3,host deck,"(-30.0, 83.0, 0)",M5 into the deck / subpanel,M5 countersunk 90deg A4-70,countersunk flush in the pan,3.0,,,,no,beyond the unit's ends - reachable with the unit fitted
deck_tray_kit,M5_deck_4,host deck,"(+30.0, 83.0, 0)",M5 into the deck / subpanel,M5 countersunk 90deg A4-70,countersunk flush in the pan,3.0,,,,no,beyond the unit's ends - reachable with the unit fitted
bulkhead_shelf_kit,M5_bulkhead_1,host bulkhead,"(-48.5, -300.0, 50.0)",M5 into the bulkhead / subpanel,M5 socket cap A4-70 with DIN 125 washer,washer on the flange's inner face,3.0,,,,no,above the unit or beyond its ends; head clears the unit
bulkhead_shelf_kit,M5_bulkhead_2,host bulkhead,"(-48.5, -100.0, 50.0)",M5 into the bulkhead / subpanel,M5 socket cap A4-70 with DIN 125 washer,washer on the flange's inner face,3.0,,,,no,above the unit or beyond its ends; head clears the unit
bulkhead_shelf_kit,M5_bulkhead_3,host bulkhead,"(-48.5, 80.0, 50.0)",M5 into the bulkhead / subpanel,M5 socket cap A4-70 with DIN 125 washer,washer on the flange's inner face,3.0,,,,no,above the unit or beyond its ends; head clears the unit
bulkhead_shelf_kit,M5_bulkhead_4,host bulkhead,"(-48.5, -313.0, 15.0)",M5 into the bulkhead / subpanel,M5 socket cap A4-70 with DIN 125 washer,washer on the flange's inner face,3.0,,,,no,above the unit or beyond its ends; head clears the unit
bulkhead_shelf_kit,M5_bulkhead_5,host bulkhead,"(-48.5, 83.0, 15.0)",M5 into the bulkhead / subpanel,M5 socket cap A4-70 with DIN 125 washer,washer on the flange's inner face,3.0,,,,no,above the unit or beyond its ends; head clears the unit
bulkhead_shelf_kit,M5_bulkhead_6_keyhole,host bulkhead,"(-48.5, -200.0, 50.0)",M5 into the bulkhead / subpanel,M5 socket cap A4-70 with DIN 125 washer,washer on the flange's inner face,3.0,,,,no,"keyhole - pre-fit, hang the bracket, then tighten"
bulkhead_shelf_kit,M5_bulkhead_7_keyhole,host bulkhead,"(-48.5, 0.0, 50.0)",M5 into the bulkhead / subpanel,M5 socket cap A4-70 with DIN 125 washer,washer on the flange's inner face,3.0,,,,no,"keyhole - pre-fit, hang the bracket, then tighten"
all,M6_lug_long_blade,"long DC blade, dia 6.5 hole","(14.5, 30.0, 21.9)",M6,"2x M6 A4-70 hex bolt + nut + spring washer, one per blade, through the blade's dia 6.5 hole",lug on the +X face,,,,4.0,no,"Lugs on the +X face of each blade, barrels pointing +Y (in-line). That is the one arrangement in which neither lug's hardware reaches the LED / trim-pot column at X = 2..10 or the other blade's hardware."
all,M6_lug_short_blade,"short DC blade, dia 6.5 hole","(35.0, 20.0, 29.9)",M6,"2x M6 A4-70 hex bolt + nut + spring washer, one per blade, through the blade's dia 6.5 hole",lug on the +X face,,,,4.0,no,"Lugs on the +X face of each blade, barrels pointing +Y (in-line). That is the one arrangement in which neither lug's hardware reaches the LED / trim-pot column at X = 2..10 or the other blade's hardware."
